isbn,bookID
439785960,1
439785960,2
439358078,1
439358078,2
439554896,2
043965548X,2
439682584,1
439682584,2
439827604,2
517226952,3
1400052920,3
739322206,4
739322206,3
517149257,3
076790818X,5
767915062,5
767910435,5
767903862,5
076790382X,5
60920084,5
380713802,5
380727501,5
380715430,5
345538374,6
618517650,6
618346252,6
618260587,7
618260587,6
618391002,8
618391002,9
618391002,10
618510826,11
097669400X,12
097669400X,13
097669400X,14
097669400X,15
097669400X,16
097669400X,17
689840926,18
1557344493,19
1557344493,20
1557344493,21
385326505,18
1575606240,22
1595580271,23
1595962808,24
1595962808,25
1595962808,26
1595962808,27
1595962808,28
1595962808,29
670059676,30
141312629,31
595321801,32
1590301943,33
449146979,34
61159174,35
006076273X,36
006076273X,35
60749911,35
273704745,37
1932386106,38
374517193,39
374517193,40
374280398,40
374519749,40
374522596,40
374518734,40
374522871,40
374519323,40
374516006,40
374520658,40
822205106,41
679734996,41
1596670231,42
1581807740,42
800793617,43
800793617,44
871202867,42
753454947,45
753454947,46
753454947,47
871209993,42
1852402873,44
1852402873,43
761129588,48
761129588,49
761129588,50
972016414,51
972016414,52
1581805632,53
441294677,54
441102670,54
441172695,54
765306476,55
399128980,54
765353709,56
765353709,55
765353709,54
441328008,54
618212906,57
034541005X,58
385732546,58
785260056,59
785260056,60
785260056,61
471780936,62
325001537,63
006076287X,64
470045299,65
72262788,66
72262788,67
764569244,68
471933821,69
764559915,68
764584383,68
596523696,70
596523696,71
806523492,72
806525363,72
596527314,73
143035002,74
143035002,75
143035002,76
451528611,77
451528611,76
140449175,76
822001837,76
822001837,78
1593080271,76
486437965,76
1593081774,76
778322270,79
521313252,80
140183957,81
679767479,82
1568491980,83
743270797,84
932863051,85
742508803,86
205358624,87
1557344035,88
380720442,89
821925326,90
043927169X,91
606105263,92
751506435,93
006078671X,94
743499344,95
765313405,96
1400032490,97
1400032482,97
1400032466,97
679732527,97
312424442,98
806930772,99
140366601,100
811201120,101
080213016X,101
802131786,101
802151825,101
802151787,101
802151809,101
811201066,101
141439637,102
1593080964,102
